1000	C 		1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 	0 	9 	1000
1000 	C 		0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 	1 	9 	1000
1000 	C 		0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0		2 	9 	1000
1000 	C 		0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 	3 	9 	1000
1000 	C 		0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 	4 	9 	1000
1000 	C 		0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 	5 	9 	1000
1000 	C 		0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 	6 	9 	1000
1000 	C 		0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 	7 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 	8 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 	9 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 	10 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 	11 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0		12 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0		13 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 	14 	9 	1000
1000 	C 		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 	15 	9 	1000



