what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1356531842579
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1356531842580
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1356531842580
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1356531842581
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1356531842582
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1356531842582
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1356531842583
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1356531842583
os,sysinfo,,,"linux",1356531842588
arch,sysinfo,,,"x86_64",1356531842588
ws,sysinfo,,,"gtk",1356531842588
locale,sysinfo,,,"en_US",1356531842588
processors,sysinfo,,,"4",1356531842588
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1356531842588
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1356531842588
java.specification.name,sysinfo,,,"Java Platform API Specification",1356531842588
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356531842588
java.specification.version,sysinfo,,,"1.6",1356531842588
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1356531842588
java.version,sysinfo,,,"1.6.0_24",1356531842588
java.vm.info,sysinfo,,,"mixed mode",1356531842588
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1356531842588
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356531842588
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356531842588
java.vm.specification.version,sysinfo,,,"1.0",1356531842588
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1356531842588
java.vm.version,sysinfo,,,"20.0-b12",1356531842588
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1356531844436
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1356531848876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531852530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531863664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531863745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531865077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531865123
error,log,,,"Unhandled event loop exception",1356531876790
error,log,,,"Unhandled event loop exception",1356531878282
error,log,,,"Unhandled event loop exception",1356531878490
error,log,,,"Unhandled event loop exception",1356531878674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531884757
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1356531885909
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1356531886221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531891549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1356531899059
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1356531899176
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1356531899294
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1356531899302
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1356531899304
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1356531899305
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1356531899314
